Angles: 91
Range[deg]: 180
Resolution[deg]: 2
Frequencies: 201
f_low[GHz]: 1,5
f_high[GHz]: 3,5
Power_level[dBm]: 10
Sweep_time[s]: 0,3

0	1,5	1,51	1,52	1,53	1,54	1,55	1,56	1,57	1,58	1,59	1,6	1,61	1,62	1,63	1,64	1,65	1,66	1,67	1,68	1,69	1,7	1,71	1,72	1,73	1,74	1,75	1,76	1,77	1,78	1,79	1,8	1,81	1,82	1,83	1,84	1,85	1,86	1,87	1,88	1,89	1,9	1,91	1,92	1,93	1,94	1,95	1,96	1,97	1,98	1,99	2	2,01	2,02	2,03	2,04	2,05	2,06	2,07	2,08	2,09	2,1	2,11	2,12	2,13	2,14	2,15	2,16	2,17	2,18	2,19	2,2	2,21	2,22	2,23	2,24	2,25	2,26	2,27	2,28	2,29	2,3	2,31	2,32	2,33	2,34	2,35	2,36	2,37	2,38	2,39	2,4	2,41	2,42	2,43	2,44	2,45	2,46	2,47	2,48	2,49	2,5	2,51	2,52	2,53	2,54	2,55	2,56	2,57	2,58	2,59	2,6	2,61	2,62	2,63	2,64	2,65	2,66	2,67	2,68	2,69	2,7	2,71	2,72	2,73	2,74	2,75	2,76	2,77	2,78	2,79	2,8	2,81	2,82	2,83	2,84	2,85	2,86	2,87	2,88	2,89	2,9	2,91	2,92	2,93	2,94	2,95	2,96	2,97	2,98	2,99	3	3,01	3,02	3,03	3,04	3,05	3,06	3,07	3,08	3,09	3,1	3,11	3,12	3,13	3,14	3,15	3,16	3,17	3,18	3,19	3,2	3,21	3,22	3,23	3,24	3,25	3,26	3,27	3,28	3,29	3,3	3,31	3,32	3,33	3,34	3,35	3,36	3,37	3,38	3,39	3,4	3,41	3,42	3,43	3,44	3,45	3,46	3,47	3,48	3,49	3,5
0	-49,694	-50,488	-60,142	-54,811	-49,595	-52,32	-54,561	-50,139	-57,393	-49,914	-55,75	-47,538	-51,905	-52,105	-54,039	-50,63	-50,002	-53,594	-50,177	-50,691	-47,76	-46,73	-46,999	-49,312	-53,201	-55,036	-52,405	-49,727	-52,405	-51,446	-49,15	-46,475	-50,79	-56,659	-55,355	-48,766	-54,437	-54,693	-55,602	-51,243	-49,373	-55,467	-55,539	-49,436	-47,612	-48,15	-51,996	-50,059	-54,374	-52,655	-49,018	-45,417	-48,222	-50,809	-48,612	-51,067	-50,059	-49,853	-49,43	-50,532	-50,702	-47,922	-45,022	-46,277	-47,54	-48,164	-51,416	-49,46	-48,158	-46,184	-49,658	-46,879	-43,006	-44,456	-47,763	-49,76	-50,045	-47,642	-52,866	-56,602	-45,582	-49,048	-49,658	-44,58	-45,14	-45,571	-50,924	-41,882	-42,311	-50,37	-48,474	-48,419	-49,617	-50,054	-50,727	-57,61	-51,897	-50,229	-49,614	-50,306	-51,861	-50,99	-46,925	-49,905	-48,977	-46,848	-41,001	-43,377	-54,132	-49,342	-51,444	-51,185	-50,919	-53,682	-51,49	-57,901	-51,68	-51,954	-53,786	-50,059	-49,521	-50,446	-56,371	-52,844	-50,235	-49,749	-51,053	-49,257	-52,833	-53,63	-50,545	-61,763	-54,792	-48,425	-50,529	-50,065	-53,182	-51,092	-53,319	-49,639	-55,731	-52,556	-52,193	-50,54	-55,388	-51,317	-49,059	-46,225	-54,086	-62,875	-52,94	-57,041	-53,199	-53,366	-50,435	-51,888	-53,729	-52,243	-52,888	-51,534	-52,438	-50,427	-56,341	-50,018	-48,963	-54,534	-57,83	-49,573	-45,302	-51,825	-55,816	-47,854	-45,285	-47,969	-54,429	-54,685	-54,512	-51,619	-50,883	-54,248	-49,466	-49,101	-55,292	-49,427	-53,836	-51,916	-52,55	-51,053	-50,584	-49,936	-53,196	-50,24	-47,925	-56,841	-56,357	-51,611	-60,28	-52,622	-44,667	-48,958	-62,507
2	-51,185	-48,988	-52,814	-54,841	-54,781	-53,883	-55,921	-51,295	-51,531	-47,085	-55,835	-47,074	-52,141	-51,803	-55,621	-49,815	-49,131	-49,551	-47,867	-48,908	-49,408	-45,945	-47,054	-47,431	-53,712	-51,611	-51,177	-53,973	-53,245	-54,937	-48,332	-46,903	-52,465	-51,564	-53,674	-50,238	-66,086	-53,998	-55,344	-54,624	-55,531	-50,293	-56,659	-50,381	-48,694	-50,284	-51,619	-51,99	-54,102	-49,746	-49,708	-46,766	-49,057	-48,164	-47,829	-49,136	-49,359	-57,222	-49,677	-48,128	-49,433	-49,57	-46,51	-45,211	-47,653	-47,291	-47,994	-47,222	-47,549	-46,002	-47,414	-47,194	-43,86	-44,003	-48,694	-46,359	-50,809	-47,128	-52,946	-51,353	-46,587	-50,606	-49,584	-45,269	-44,599	-44,909	-52,432	-43,052	-42,907	-55,105	-47,757	-51,913	-50,361	-50,565	-52,789	-51,834	-52,712	-52,946	-55,146	-53,004	-59,692	-59,804	-48,516	-61,038	-50,131	-49,738	-41,723	-45,821	-49,622	-49,62	-51,095	-58,03	-57,148	-51,54	-53,212	-51,866	-58,524	-48,991	-51,367	-52,677	-48,057	-49,15	-56,706	-54,138	-56,706	-55,47	-50,644	-48,804	-53,679	-52,647	-54,325	-55,723	-52,204	-47,67	-50,641	-58,582	-51,246	-53,69	-51,185	-48,268	-58,958	-52,125	-49,546	-51,202	-54,413	-48,966	-47,494	-48,164	-52,896	-53,789	-49,359	-52,495	-51,427	-52,163	-51,567	-47,815	-48,7	-49,326	-52,224	-48,483	-57,851	-50,054	-52,405	-49,688	-46,81	-52,416	-54,635	-46,78	-45,585	-52,77	-51,103	-48,202	-46,585	-46,997	-57,47	-51,218	-50,155	-61,818	-52,734	-51,938	-50,29	-52,468	-52,372	-51,485	-51,378	-57,407	-48,581	-50,089	-51,029	-55,39	-50,911	-47,554	-51,004	-53,135	-51,062	-55,426	-54,844	-51,702	-44,698	-50,672	-51,575
4	-50,663	-51,993	-50,128	-51,614	-54,064	-59,033	-53,55	-58,892	-56,714	-49,947	-53,254	-46,049	-51,4	-52,397	-50,625	-57,467	-49,727	-48,779	-48,321	-49,348	-49,881	-47,076	-47,318	-48,032	-56,074	-51,628	-48,653	-52,21	-58,107	-51,457	-53,135	-47,123	-50,444	-55,108	-55,492	-50,493	-50,872	-51,342	-53,366	-54,251	-52,207	-51,46	-53,333	-48,472	-48,34	-49,351	-52,353	-53,026	-49,312	-47,963	-50,913	-46,494	-49,504	-49,491	-46,835	-47,807	-49,504	-48,895	-49,576	-50,565	-50,471	-51,886	-45,791	-45,557	-48,007	-48,005	-48,098	-48,549	-48,43	-46,142	-47,178	-45,184	-43,723	-43,388	-47,422	-47,071	-49,312	-50,54	-57,816	-49,416	-46,67	-51,152	-46,024	-43,558	-44,758	-46,815	-52,07	-41,712	-42,234	-57,813	-46,285	-45,953	-45,442	-45,332	-55,124	-44,445	-45,272	-42,915	-46,373	-50,164	-50,79	-52,894	-48,917	-53,319	-49,329	-47,645	-40,383	-46,546	-54,446	-53,001	-57,522	-54,83	-50,647	-53,575	-54,621	-54,643	-53,102	-52,213	-54,193	-47,074	-46,453	-49,518	-55,184	-57,511	-50,422	-51,391	-50,889	-53,586	-49,644	-48,763	-48,691	-53,41	-52,454	-55,385	-48,625	-55,58	-54,473	-53,55	-50,919	-50,067	-53,35	-53,836	-50,389	-54,292	-57,849	-50,048	-47,211	-49,683	-54,676	-55,649	-48,936	-52,718	-50,12	-49,611	-47,661	-47,966	-50,271	-47,991	-50,323	-53,289	-52,594	-49,469	-60,845	-52,408	-47,793	-52,608	-48,82	-46,826	-46,175	-49,65	-54,322	-48,804	-47,543	-50,158	-56,264	-54,871	-50,809	-51,133	-53,385	-53,259	-51,869	-60,255	-55,283	-58,107	-50,68	-53,122	-52,891	-52,531	-52,273	-60,422	-49,499	-47,76	-47,645	-50,246	-53,023	-51,372	-52,962	-53,613	-44,624	-47,524	-55,86
6	-56,64	-53,523	-49,543	-50,952	-54,413	-52,042	-52,089	-49,914	-48,996	-51,74	-53,49	-47,082	-50,93	-51,342	-57,769	-61,222	-47,524	-50,606	-47,9	-49,782	-47,313	-47,123	-47,395	-48,068	-53,509	-52,072	-52,204	-58,335	-51,364	-52,037	-47,315	-47,606	-51,507	-50,084	-50,356	-50,147	-53,72	-54,017	-51,265	-54,311	-51,476	-56,786	-59,478	-50,304	-49,944	-47,291	-63,507	-49,46	-51,996	-50,674	-48,963	-46,791	-49,342	-47,293	-45,626	-47,455	-47,917	-50,186	-51,639	-48,906	-48,928	-48,469	-44,928	-46,813	-48,255	-48,104	-46,293	-47,59	-47,461	-44,758	-48,472	-46,868	-44,003	-42,824	-45,964	-47,266	-54,02	-47,068	-50,018	-54,687	-49,839	-50,392	-47,376	-43,165	-44,157	-43,805	-51,194	-42,333	-44,464	-52,537	-47,395	-46,074	-46,109	-44,231	-52,55	-55,16	-49,158	-45,31	-44,901	-51,578	-55,673	-51,314	-47,101	-50,9	-49,205	-48,439	-41,41	-45,64	-56,731	-52,471	-51,232	-54,517	-55,673	-52,745	-52,27	-51,177	-47,834	-45,34	-49,087	-50,493	-50,238	-58,003	-52,105	-52,476	-47,461	-49,375	-50,37	-48,148	-53,995	-54,119	-56,648	-57,591	-53,808	-50,521	-53,671	-57,146	-52,026	-59,708	-54,215	-46,914	-54,693	-55,011	-50,658	-47,878	-55,072	-59,744	-48,625	-49,342	-53,962	-56,89	-51,96	-58,519	-53,896	-52,309	-50,427	-49,145	-54,014	-47,749	-52,213	-50,669	-54,544	-53,55	-54,207	-60,612	-49,85	-55,039	-50,537	-45,832	-45,483	-49,521	-54,38	-48,974	-45,041	-51,817	-50,087	-51,718	-56,849	-48,675	-50,801	-51,779	-48,744	-51,056	-55,498	-52,284	-51,875	-51,721	-53,339	-52,534	-50,243	-55,852	-50,383	-47,587	-48,384	-53,83	-54,135	-64,493	-53,317	-50,867	-47,249	-46,64	-57,066
8	-51,806	-52,281	-54,737	-57,566	-53,866	-52,883	-53,482	-52,026	-48,87	-47,749	-53,742	-48,384	-54,599	-52,789	-49,12	-49,469	-51,303	-55,506	-47,269	-50,944	-49,068	-46,23	-46,574	-47,096	-50,21	-55,314	-49,172	-51,606	-50,026	-48,098	-47,639	-46,857	-48,378	-54,399	-53,218	-54,943	-54,479	-52,586	-52,04	-49,977	-60,554	-49,958	-50,427	-49,235	-49,933	-49,9	-53,361	-51,592	-52,037	-49,881	-47,818	-45,093	-48,268	-51,485	-45,783	-49,592	-48,919	-52,02	-50,383	-50,117	-49,85	-47,609	-46,016	-47,373	-47,936	-47,519	-48,082	-48,796	-48,34	-45,06	-46,296	-46,395	-43,882	-42,003	-49,307	-48,842	-48,914	-47,76	-50,111	-53,35	-47,054	-49,046	-45,912	-43,486	-43,116	-43,824	-49,977	-42,893	-45,439	-49,015	-45,371	-46,222	-46,445	-45,654	-53,696	-49,079	-48,156	-44,854	-47,008	-48,406	-53,542	-52,927	-45,643	-57,917	-49,101	-49,021	-41,547	-45,961	-50,754	-64,284	-54,553	-50,532	-56,096	-51,507	-55,929	-55,613	-49,647	-47,604	-47,766	-48,776	-47,777	-63,012	-51,089	-51,715	-50,262	-50,768	-48,15	-54,86	-50,869	-51,715	-50,658	-52,652	-52,108	-56,154	-53,385	-52,993	-58,104	-50,968	-54,682	-50,4	-52,152	-50,93	-49,845	-50,545	-50,93	-50,655	-48,829	-62,631	-54,591	-57,324	-49,719	-50,067	-50,636	-54,028	-49,109	-51,309	-51,751	-46,568	-57,047	-50,598	-51,891	-49,727	-61,727	-49,381	-47,571	-54,045	-53,212	-45,632	-45,165	-49,076	-53,718	-48,244	-45,077	-48,461	-55,124	-51,721	-49,205	-56,368	-54,396	-48,598	-48,845	-49,158	-55,621	-49,697	-51,383	-52,331	-50,666	-52,586	-49,156	-53,83	-49,785	-47,093	-47,845	-50,655	-60,571	-49,172	-55,451	-51,861	-46,153	-46,67	-55,517
10	-52,353	-51,463	-48,991	-54,693	-56,912	-51,68	-56,451	-49,815	-49,167	-47,216	-53,808	-49,117	-50,408	-59,821	-52,809	-54,111	-50,787	-48,848	-47,334	-54,207	-48,546	-46,013	-46,362	-51,444	-49,477	-51,875	-55,108	-53,237	-52,13	-52,765	-47,645	-47,906	-50,029	-48,661	-52,034	-52,85	-53,682	-53,067	-57,615	-49,353	-50,556	-58,898	-54,424	-50,122	-48,947	-49,09	-60,955	-59,697	-49,576	-48,823	-48,958	-46,442	-47,469	-47,779	-47,304	-46,653	-49,911	-49,004	-50,518	-50,21	-49,34	-52,729	-44,961	-46,615	-48,115	-45,898	-47,447	-46,98	-47,074	-44,047	-46,324	-43,596	-45	-43,981	-49,485	-49,622	-48,969	-46,997	-58,187	-47,571	-48,326	-49,859	-47,291	-45,066	-45,162	-45,28	-49,735	-42,097	-44,687	-51,259	-46,098	-45,165	-44,313	-44,698	-51,803	-49,966	-49,265	-42,028	-44,126	-47,565	-50,394	-51,174	-47,524	-51,869	-47,387	-51,883	-41,792	-43,775	-50,845	-60,969	-51,57	-53,685	-51,012	-46,901	-51,021	-53,91	-47,95	-49,373	-52,8	-51,812	-49,441	-49,139	-53,514	-52,633	-46,612	-53,951	-47,28	-50,817	-51,347	-56,099	-51,715	-49,128	-62,719	-49,661	-51,773	-50,894	-54,058	-64,743	-50,845	-49,249	-50,919	-50,545	-51,834	-48,785	-51,817	-51,128	-53,168	-48,774	-58,101	-53,968	-51,435	-57,124	-50,144	-54,053	-48,57	-49,644	-54,111	-52,21	-54,185	-53,487	-52,638	-50,265	-51,974	-50,674	-47,052	-51,803	-50,477	-45,022	-43,734	-50,812	-51,666	-49,235	-44,764	-45,898	-50,82	-53,493	-49,76	-51,029	-55,962	-52,243	-50,106	-52,152	-55,028	-53,1	-53,756	-55,305	-49,768	-47,595	-48,54	-52,04	-49,611	-49,579	-48,425	-51,487	-50,183	-50,197	-52,517	-50,169	-45,783	-50,856	-53,122
12	-63,757	-51,339	-55,632	-51,724	-52,954	-54,234	-51,685	-54,358	-59,98	-46,947	-51,85	-46,826	-50,499	-52,605	-50,985	-49,068	-48,928	-49,18	-47,104	-50,625	-48,807	-45,423	-46,788	-49,353	-52,226	-50,43	-50,342	-59,197	-52,317	-59,532	-47,692	-47,269	-51,768	-50,342	-49,559	-56,758	-55,662	-50,941	-54,418	-54,229	-50,468	-52,21	-53,504	-50,815	-47,851	-48,37	-49,433	-52,69	-50,672	-51,515	-47,582	-45,404	-49,727	-46,554	-44,536	-46,274	-52,699	-50,103	-52,361	-48,716	-49,112	-48,76	-45,206	-45,524	-47,466	-46,969	-47,653	-46,933	-49,6	-44,148	-45,362	-44,53	-43,852	-43,778	-48,087	-46,752	-49,035	-48,56	-52,122	-53,218	-49,147	-55,245	-45,552	-43,278	-45,214	-43,418	-55,396	-40,905	-42,94	-51,737	-46,656	-50,946	-47,903	-47,345	-51,438	-48,34	-46,247	-41,473	-42,522	-47,659	-54,984	-51,732	-50,655	-48,79	-48,235	-47,832	-40,023	-45,211	-59,346	-58,129	-60,95	-51,207	-50,122	-47,027	-51,971	-53,44	-56,223	-48,955	-49,87	-47,887	-47,837	-53,729	-51,759	-51,331	-48,513	-50,688	-48,419	-48,98	-55,058	-52,938	-48,625	-51,122	-51,422	-49,562	-51,702	-56,176	-52,193	-55,182	-56,514	-56,827	-52,839	-48,378	-50,205	-50,518	-56,445	-49,386	-47,205	-46,351	-54,83	-57,11	-57,299	-52,825	-50,718	-54,781	-48,543	-50,861	-53,281	-49,351	-49,455	-50,757	-51,089	-48,211	-57,126	-51,894	-50,315	-56,418	-56,78	-45,868	-45,154	-59,066	-49,037	-50,172	-46,17	-49,12	-53,039	-55,319	-51,064	-51,707	-54,542	-51,518	-50,894	-50,666	-52,537	-49,817	-53,287	-52,597	-58,269	-50,677	-48,928	-56,874	-52,976	-49,172	-47,348	-51,902	-58,821	-52,482	-55,709	-50,672	-47,013	-48,197	-50,609
14	-49,702	-51,715	-58,022	-55,528	-52,138	-55,195	-49,991	-51,004	-57,794	-49,062	-53,122	-45,939	-52,158	-61,12	-52,037	-50,24	-48,982	-50,037	-48,433	-50,015	-47,497	-46,03	-46,365	-50,078	-52,603	-49,653	-49,963	-54,468	-56,069	-50,897	-49,845	-47,584	-48,499	-48,653	-49,241	-52,171	-53,742	-51,611	-55,965	-54,718	-52,029	-55,759	-57,577	-48,463	-49,771	-48,134	-52,542	-51,496	-50,617	-57,503	-48,581	-45,357	-48,647	-47,271	-45,857	-47,043	-48,34	-48,455	-51,177	-48,68	-49,392	-46,409	-44,371	-45,961	-45,95	-45,961	-46,37	-45,332	-46,87	-45,398	-45,612	-45,088	-42,893	-42,761	-48,807	-49,796	-50,902	-46,98	-50,658	-47,128	-48,332	-50,669	-44,937	-43,203	-43,775	-45,593	-46,431	-41,805	-43,92	-50,103	-46,48	-47,131	-47,013	-47,757	-53,729	-48,065	-46,939	-41,69	-44,409	-48,458	-51,63	-48,109	-45,892	-46,922	-46,307	-46,684	-40,457	-44,695	-54,284	-51,358	-54,789	-50,804	-50,688	-46,497	-51,872	-56,107	-52,24	-49,793	-48,345	-49,806	-48,082	-53,429	-52,534	-54,253	-51,194	-53,545	-48,502	-47,799	-53,113	-50,095	-48,928	-60,222	-50,24	-48,628	-59,315	-55,281	-49,796	-52,182	-51,57	-50,768	-56,585	-49,351	-52,877	-48,895	-51,413	-50,598	-50,625	-45,56	-53,737	-51,916	-50,529	-56,316	-50,979	-53,44	-47,628	-47,398	-51,765	-49,205	-49,15	-54,045	-55,811	-49,817	-53,009	-53,929	-47,302	-57,769	-52,616	-47,17	-47,736	-52,644	-53,916	-48,694	-45,244	-51,474	-51,097	-54,838	-54,74	-62,499	-56,486	-52,616	-48,914	-50,394	-55,745	-49,282	-61,873	-51,905	-49,537	-49,392	-50,534	-51,776	-54,251	-49,224	-48,554	-60,37	-51,974	-49,029	-58,321	-48,848	-44,909	-48,955	-52,18
16	-51,254	-49,029	-51,35	-58,513	-57,066	-61,543	-49,381	-50,831	-49,941	-48,06	-50,216	-49,139	-51,369	-57,92	-55,583	-51,172	-50,817	-51,606	-47,958	-50,337	-48,625	-45,887	-45,544	-48,397	-50,817	-52,213	-56,81	-52,144	-59,59	-53,742	-46,95	-46,722	-51,913	-48,609	-50,301	-51,152	-54,726	-61,623	-51,446	-51,479	-53,959	-55,215	-52,16	-48,23	-50,087	-49,444	-51,408	-50,518	-49,068	-52,204	-48,266	-46,022	-47,247	-46,263	-46,997	-46,252	-47,985	-49,785	-51,954	-47,966	-50,048	-49,452	-44,629	-45,406	-47,746	-45,978	-50,663	-46,884	-45,505	-45,154	-45,486	-45,329	-42,195	-42,091	-48,678	-48,639	-49,993	-48,007	-49,669	-47,455	-45,892	-53,451	-45,906	-42,833	-43,506	-44,341	-45,307	-42,399	-45,096	-50,095	-45,071	-46,107	-46,609	-44,972	-51,806	-50,257	-48,752	-42,558	-43,723	-52,103	-51,856	-47,318	-45,011	-48,744	-45,931	-46,269	-40,048	-47,837	-53,02	-53,44	-51,292	-50,658	-53,119	-51,603	-50,147	-57,659	-51,553	-50,54	-49,015	-58,263	-49,375	-52,88	-60,7	-53,295	-50,095	-51,276	-47,719	-48,255	-60,799	-50,754	-51,196	-53,251	-52,004	-47,623	-50,037	-55,234	-55,522	-55,759	-53,484	-54,959	-61,202	-54,3	-49,532	-50,512	-53,855	-49,639	-49,568	-48,787	-58,162	-51,347	-51,172	-54,468	-52,57	-55,182	-48,175	-50,122	-54,306	-57,481	-50,944	-61,222	-51,823	-48,216	-51,235	-58,173	-47,988	-53,655	-55,588	-45,329	-45,73	-50,224	-56,11	-49,694	-45,555	-50,861	-49,565	-50,293	-50,383	-56,607	-50,707	-49,716	-55,429	-49,806	-52,627	-49,787	-49,71	-52,408	-48,842	-50,427	-53,916	-51,619	-50,304	-49,315	-48,993	-49,559	-54,643	-50,012	-58,596	-48,812	-46,546	-50,21	-61,452
