"Freq [GHz]","Phi [deg]","Theta [deg]","GainTotal []"
2.4,0,-180,1.63705913450914
2.4,0,-177,1.64420657128248
2.4,0,-174,1.65465144625897
2.4,0,-171,1.66834449810498
2.4,0,-168,1.68542373568047
2.4,0,-165,1.70606216600598
2.4,0,-162,1.73027779763063
2.4,0,-159,1.75773532856049
2.4,0,-156,1.78757250422155
2.4,0,-153,1.8182872070412
2.4,0,-150,1.847722381401
2.4,0,-147,1.87318035423731
2.4,0,-144,1.89168045074592
2.4,0,-141,1.90034194165746
2.4,0,-138,1.89683401728831
2.4,0,-135,1.87979984991607
2.4,0,-132,1.84915025855589
2.4,0,-129,1.80614510795408
2.4,0,-126,1.75323398794648
2.4,0,-123,1.69369333199472
2.4,0,-120,1.63114950892895
2.4,0,-117,1.56909734208255
2.4,0,-114,1.51050756618655
2.4,0,-111,1.45757748664919
2.4,0,-108,1.41163633476265
2.4,0,-105,1.37318616394078
2.4,0,-102,1.34204543110323
2.4,0,-99,1.31756069290386
2.4,0,-96,1.29885371339273
2.4,0,-93,1.28507131925085
2.4,0,-90,1.27560373227211
2.4,0,-87,1.27023786244172
2.4,0,-84,1.26921913100538
2.4,0,-81,1.2732096506601
2.4,0,-78,1.28314902808006
2.4,0,-75,1.30004149378262
2.4,0,-72,1.32470488404559
2.4,0,-69,1.35752137216936
2.4,0,-66,1.39822821239293
2.4,0,-63,1.44578220553011
2.4,0,-60,1.49832607651378
2.4,0,-57,1.55327730214967
2.4,0,-54,1.60754645445547
2.4,0,-51,1.65787002803594
2.4,0,-48,1.70121419772801
2.4,0,-45,1.7351797301542
2.4,0,-42,1.75832645692998
2.4,0,-39,1.77034714211567
2.4,0,-36,1.77205474072118
2.4,0,-33,1.76519294542012
2.4,0,-30,1.75212103944801
2.4,0,-27,1.73544661621015
2.4,0,-24,1.71767897963468
2.4,0,-21,1.70095722468838
2.4,0,-18,1.68688077194841
2.4,0,-15,1.67644627855141
2.4,0,-12,1.67007820328318
2.4,0,-9,1.66773068195521
2.4,0,-6,1.66903333108689
2.4,0,-3,1.67345137282281
2.4,0,0,1.68043107639592
2.4,0,3,1.68950590298388
2.4,0,6,1.70034727452887
2.4,0,9,1.71275538703121
2.4,0,12,1.72659749653588
2.4,0,15,1.741710923648
2.4,0,18,1.75779380130394
2.4,0,21,1.77430787821892
2.4,0,24,1.79041524620544
2.4,0,27,1.80496591645583
2.4,0,30,1.81654657457578
2.4,0,33,1.82359261405284
2.4,0,36,1.82455524515166
2.4,0,39,1.81810332863446
2.4,0,42,1.80332764507052
2.4,0,45,1.77990761910071
2.4,0,48,1.74820162939071
2.4,0,51,1.70923442520053
2.4,0,54,1.66457707647875
2.4,0,57,1.61614021689731
2.4,0,60,1.56592207705429
2.4,0,63,1.51576256657369
2.4,0,66,1.46715130799842
2.4,0,69,1.42112337653254
2.4,0,72,1.37825649834693
2.4,0,75,1.33876279519304
2.4,0,78,1.3026508184508
2.4,0,81,1.2699221287909
2.4,0,84,1.24076241576744
2.4,0,87,1.21569036130984
2.4,0,90,1.19563699653525
2.4,0,93,1.18194158466404
2.4,0,96,1.17626358112516
2.4,0,99,1.18042073415091
2.4,0,102,1.1961692263635
2.4,0,105,1.22494368461178
2.4,0,108,1.26757602047206
2.4,0,111,1.32401655467695
2.4,0,114,1.39309139161097
2.4,0,117,1.4723448417878
2.4,0,120,1.55802722102666
2.4,0,123,1.64528483246872
2.4,0,126,1.72858028571229
2.4,0,129,1.80231685237786
2.4,0,132,1.86157394272557
2.4,0,135,1.90280739718915
2.4,0,138,1.9243543522924
2.4,0,141,1.92662081699728
2.4,0,144,1.91191123200208
2.4,0,147,1.88395387859373
2.4,0,150,1.84724879219775
2.4,0,153,1.80639169168523
2.4,0,156,1.76550575612026
2.4,0,159,1.72786001242435
2.4,0,162,1.69569402700573
2.4,0,165,1.67022385065132
2.4,0,168,1.651781557513
2.4,0,171,1.64003649350804
2.4,0,174,1.63425162479504
2.4,0,177,1.63353576423079
2.4,0,180,1.63705913450914
3,0,-180,2.6252420274159
3,0,-177,2.60187346461708
3,0,-174,2.55680392820865
3,0,-171,2.49432175844917
3,0,-168,2.41937623244886
3,0,-165,2.33695573054246
3,0,-162,2.25163949722445
3,0,-159,2.16729499269539
3,0,-156,2.08684073621057
3,0,-153,2.01200979003579
3,0,-150,1.94313232342521
3,0,-147,1.87906852623909
3,0,-144,1.81748566919269
3,0,-141,1.75560036954831
3,0,-138,1.69128054034394
3,0,-135,1.62412420730182
3,0,-132,1.55599843383882
3,0,-129,1.49068428416049
3,0,-126,1.43269993933919
3,0,-123,1.38582094067546
3,0,-120,1.35198622699545
3,0,-117,1.33104521658444
3,0,-114,1.3213177916229
3,0,-111,1.32052486068973
3,0,-108,1.32654778783773
3,0,-105,1.33769791063301
3,0,-102,1.35252495627838
3,0,-99,1.36943609325434
3,0,-96,1.38642987878887
3,0,-93,1.40111810716278
3,0,-90,1.41103277412474
3,0,-87,1.41409126662264
3,0,-84,1.40905278280644
3,0,-81,1.39582767612577
3,0,-78,1.37556908487534
3,0,-75,1.35055404789254
3,0,-72,1.32391926276492
3,0,-69,1.29932559536863
3,0,-66,1.28057833205395
3,0,-63,1.27116602500705
3,0,-60,1.27367489610494
3,0,-57,1.28913962242718
3,0,-54,1.31656256425547
3,0,-51,1.35293218237209
3,0,-48,1.39395852598665
3,0,-45,1.43541696507609
3,0,-42,1.47463040353097
3,0,-39,1.51147305592986
3,0,-36,1.54846781221143
